Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
,Mathieu Leconte,,,,,
Collective Prediction of Individual Mobility Traces for Users with Short Data History,Bartosz Hawelka,PloS one,2017,,,https://pdfs.semanticscholar.org/f273/66dbda7cbfdfeb8c6ec185791b7dec7e5994.pdf
,Euro Beinat,,,,,
,Izabela Sitko,,,,,
,Pavlos Kazakopoulos,,,,,
Constructing socio-demographic indicators for National Statistical Institutes using mobile phone data : estimating literacy rates in Senegal,Nicola Salvati,,2016,,,https://pdfs.semanticscholar.org/4643/d2c2add93d9f68ab59afd5ed6b51271bc211.pdf
,Timo Schmid,,,,,
"Context-Aware QoE Modelling, Measurement, and Prediction in Mobile Computing Systems",Arkady B. Zaslavsky,IEEE Transactions on Mobile Computing,2015,2,25,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6679038
,Christer Åhlund,,,,,
,Karan Mitra,,,,,
Context-aware Battery Management for Mobile Phones,James M Scott,2008 Sixth Annual IEEE International Conference…,2008,4,4,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4517397
,Liviu Iftode,,,,,
,Lu Han,,,,,
,Nishkam Ravi,,,,,
Contextual conditional models for smartphone-based human mobility prediction,Daniel Gatica-Perez,UbiComp,2012,3,15,http://dl.acm.org/citation.cfm?id=2370242
,Trinh Minh Tri Do,,,,,
Countrywide arrhythmia: emergency event detection using mobile phone data,Albert Ali Salah,EPJ Data Science,2016,,,http://doi.org/10.1140/epjds%2Fs13688-016-0086-0
,Bruno Lepri,,,,,
,Didem Gundogdu,,,,,
,Özlem Durmaz Incel,,,,,
D4D-Senegal: The Second Mobile Phone Data for Development Challenge,Cezary Ziemlicki,ArXiv,2014,6,16,https://arxiv.org/pdf/1407.4885.pdf
,Romain Trinquart,,,,,
,Vincent D. Blondel,,,,,
,Yves-Alexandre de Montjoye,,,,,
,Zbigniew Smoreda,,,,,
D4D-Senegal: The Second Mobile Phone Data for Development Challenge,Cezary Ziemlicki,ArXiv,2014,6,16,https://arxiv.org/pdf/1407.4885.pdf
,Romain Trinquart,,,,,
,Vincent D. Blondel,,,,,
,Yves-Alexandre de Montjoye,,,,,
,Zbigniew Smoreda,,,,,
"Daily Stress Recognition from Mobile Phone Data, Weather Conditions and Individual Traits",Alex Pentland,ACM Multimedia,2014,1,29,https://arxiv.org/pdf/1410.5816.pdf
,Andrey Bogomolov,,,,,
,Bruno Lepri,,,,,
,Fabio Pianesi,,,,,
,Michela Ferron,,,,,
Daily travel behavior: lessons from a week-long survey for the extraction of human mobility motifs related information,Christian M. Schneider,UrbComp@KDD,2013,,,http://dl.acm.org/citation.cfm?id=2505829
,Christian Rudloff,,,,,
,Dietmar Bauer,,,,,
,Marta C. González,,,,,
Data muling with mobile phones for sensornets,John S. Heidemann,SenSys,2011,4,6,http://dl.acm.org/citation.cfm?id=2070960
,Unkyu Park,,,,,
Data-driven Human Mobility Modeling: A Survey and Engineering Guidance for Mobile Networking,Andrea Hess,ACM Comput. Surv.,2015,1,10,http://dl.acm.org/citation.cfm?id=2840722
,Günter Haring,,,,,
,Karin Anna Hummel,,,,,
,Wilfried N. Gansterer,,,,,
Data-driven Human Mobility Modeling: A Survey and Engineering Guidance for Mobile Networking,Andrea Hess,ACM Comput. Surv.,2015,1,10,http://dl.acm.org/citation.cfm?id=2840722
,Günter Haring,,,,,
,Karin Anna Hummel,,,,,
,Wilfried N. Gansterer,,,,,
DeepSpace: An Online Deep Learning Framework for Mobile Big Data to Understand Human Mobility Patterns,Chaoyun Zhang,ArXiv,2016,,,https://arxiv.org/pdf/1610.07009.pdf
,Hao Jiang,,,,,
,Pan Zhou,,,,,
,Xi Ouyang,,,,,
Detecting Mobility Patterns in Mobile Phone Data from the Ivory Coast,Matthew F. Dixon,,2013,,,https://pdfs.semanticscholar.org/0d6a/f4a86ac5f949773876a79f268dbb4e9f69ca.pdf
,William Goldstein,,,,,
Development of origin – destination matrices using mobile phone call data,Charisma F. Choudhury,,2013,5,31,https://pdfs.semanticscholar.org/5100/694c0919bf1268f776f8f89c18853f0e68b3.pdf
,S. J. Iqbal,,,,,
Did you see Bob?: human localization using mobile phones,Ionut Constandache,MobiCom,2010,21,16,http://dl.acm.org/citation.cfm?id=1860013
,Martin Azizyan,,,,,
,Romit Roy Choudhury,,,,,
,Xuan Bao,,,,,
